id, tenure, age, marital, address, income, ed, employ, gender, reside, longmon, tollmon, wiremon, longten, tollten, wireten, ebill, churn
232, 28, 40, 1, 1, 47, 2, 9, 1, 3, 8.1, 29.5, 0, 224.25, 774.75, 0, 0, 0
233, 71, 47, 1, 23, 142, 1, 30, 0, 2, 32.2, 0, 0, 2237.35, 0, 0, 0, 0
234, 7, 37, 0, 5, 57, 4, 1, 0, 1, 3.8, 0, 0, 23.9, 0, 0, 0, 0
235, 63, 29, 0, 10, 20, 3, 7, 0, 2, 13.3, 31, 96.25, 867.9, 1944.45, 6132.2, 1, 0
236, 53, 57, 0, 25, 37, 1, 7, 0, 1, 7.7, 0, 0, 363.95, 0, 0, 0, 0
237, 50, 52, 1, 17, 36, 4, 16, 0, 4, 11.95, 55, 85.85, 616.25, 2662.1, 4118.6, 1, 0
238, 39, 31, 1, 6, 24, 4, 2, 0, 2, 13.9, 0, 0, 505.55, 0, 0, 1, 0
239, 16, 19, 0, 0, 21, 2, 0, 1, 1, 5.25, 0, 0, 70.25, 0, 0, 0, 0
240, 43, 51, 1, 15, 186, 3, 25, 0, 2, 18.9, 59.75, 59.15, 856.3, 2522.95, 2525.1, 0, 0
241, 44, 31, 0, 12, 30, 1, 7, 1, 3, 8, 0, 0, 317.9, 0, 0, 0, 0
242, 72, 66, 1, 43, 96, 2, 16, 1, 2, 35.15, 34.75, 50.7, 2537.65, 2557.75, 3571.45, 1, 0
243, 61, 76, 0, 39, 15, 1, 29, 0, 1, 18.6, 52.75, 0, 1168.45, 3257.7, 0, 0, 0
244, 43, 21, 1, 1, 25, 1, 4, 0, 4, 7.6, 0, 0, 334.45, 0, 0, 0, 1
245, 24, 39, 0, 11, 49, 3, 7, 1, 1, 7.45, 0, 0, 177.2, 0, 0, 0, 0
246, 64, 45, 0, 4, 38, 2, 7, 1, 1, 13.75, 22.75, 0, 918, 1447.4, 0, 0, 1
247, 64, 38, 0, 0, 29, 2, 2, 0, 2, 17.5, 15.5, 0, 1114.45, 1141.55, 0, 0, 0
248, 24, 26, 0, 7, 55, 2, 7, 1, 1, 7.6, 0, 0, 175.8, 0, 0, 0, 0
249, 33, 55, 1, 21, 64, 3, 10, 1, 3, 5.15, 14.5, 0, 163.05, 494.55, 0, 0, 0
250, 33, 33, 1, 12, 42, 4, 7, 1, 5, 8.8, 0, 23.35, 305.75, 0, 665.35, 0, 0
251, 2, 40, 0, 9, 134, 4, 2, 0, 1, 3.9, 0, 0, 4.6, 0, 0, 1, 0
252, 42, 48, 1, 22, 82, 1, 21, 1, 5, 9.3, 25, 0, 459, 1006.9, 0, 1, 0
253, 52, 54, 1, 5, 153, 5, 10, 0, 2, 11.05, 0, 30.15, 555.85, 0, 1525.15, 1, 1
254, 45, 66, 0, 43, 144, 2, 13, 1, 1, 7.75, 0, 0, 338.8, 0, 0, 0, 0
255, 3, 25, 0, 4, 22, 4, 0, 0, 2, 2.85, 0, 0, 7.5, 0, 0, 1, 1
256, 37, 53, 1, 16, 35, 1, 16, 1, 4, 21.3, 0, 0, 788.25, 0, 0, 0, 0
257, 28, 57, 0, 33, 82, 4, 22, 1, 1, 4.05, 0, 0, 71.5, 0, 0, 1, 1
258, 40, 63, 1, 9, 61, 1, 22, 0, 2, 10.9, 0, 0, 470.9, 0, 0, 0, 0
259, 37, 33, 0, 1, 102, 2, 12, 0, 1, 16.3, 0, 37.9, 646.7, 0, 1330.6, 1, 0
260, 7, 27, 0, 5, 31, 3, 4, 0, 5, 4.15, 15, 41.85, 30.8, 96.6, 235.55, 1, 1
261, 71, 56, 0, 23, 170, 1, 30, 1, 1, 14.2, 27, 0, 1001.2, 1840.65, 0, 0, 0
262, 19, 46, 0, 11, 26, 2, 0, 1, 1, 6.05, 0, 0, 121.7, 0, 0, 1, 0
263, 61, 40, 0, 15, 85, 3, 15, 1, 1, 13.65, 29.25, 0, 831.15, 1823.6, 0, 1, 0
264, 70, 53, 1, 16, 183, 2, 35, 1, 2, 32.9, 0, 0, 2234.9, 0, 0, 0, 0
265, 60, 55, 1, 13, 67, 1, 18, 1, 2, 10.75, 0, 0, 697.7, 0, 0, 0, 0
266, 48, 45, 1, 5, 42, 1, 11, 1, 2, 9.25, 0, 0, 435.6, 0, 0, 0, 0
267, 8, 63, 1, 1, 31, 1, 9, 0, 2, 2.25, 13.75, 0, 16.8, 102.55, 0, 0, 0
268, 58, 58, 1, 10, 96, 2, 17, 0, 4, 12.5, 23, 0, 710.8, 1345.95, 0, 0, 0
269, 16, 24, 1, 5, 24, 3, 2, 0, 5, 9.4, 0, 0, 124.2, 0, 0, 0, 0
270, 33, 33, 0, 4, 53, 2, 14, 1, 1, 5.05, 0, 0, 145.85, 0, 0, 0, 0
271, 39, 25, 0, 4, 18, 1, 0, 1, 1, 6.75, 0, 0, 242.7, 0, 0, 0, 0
272, 62, 51, 0, 10, 43, 4, 19, 0, 2, 27.15, 0, 41.15, 1632.4, 0, 2521.05, 1, 0
273, 50, 34, 0, 10, 104, 3, 9, 0, 1, 27.5, 21.75, 47.9, 1444.45, 1219.55, 2368.4, 1, 0
274, 48, 55, 0, 31, 26, 1, 1, 0, 1, 12.15, 0, 0, 606.1, 0, 0, 0, 0
275, 31, 62, 0, 5, 56, 2, 26, 1, 1, 4.3, 22.25, 0, 123.5, 744.45, 0, 0, 0
276, 65, 33, 1, 9, 49, 2, 6, 0, 5, 42.9, 17.25, 0, 2706.8, 1094.1, 0, 0, 0
277, 36, 58, 0, 34, 80, 1, 21, 1, 1, 8.5, 0, 0, 298.25, 0, 0, 0, 0
278, 61, 46, 0, 5, 318, 3, 18, 1, 1, 28.9, 39.25, 0, 1796.7, 2442.75, 0, 0, 0
279, 48, 42, 0, 21, 35, 4, 5, 0, 1, 12.9, 0, 0, 589.35, 0, 0, 0, 0
280, 35, 45, 0, 17, 29, 1, 6, 0, 1, 8.4, 0, 0, 300.35, 0, 0, 0, 0
281, 51, 28, 0, 8, 43, 5, 1, 0, 5, 11.15, 35, 80.35, 623, 1920.5, 4059.9, 1, 0
282, 49, 51, 1, 5, 80, 5, 3, 0, 2, 5.75, 0, 36.7, 285.4, 0, 1679.45, 1, 1
283, 35, 39, 1, 11, 30, 3, 2, 1, 3, 6.85, 27.75, 0, 224.85, 929.95, 0, 0, 1
284, 58, 70, 0, 2, 9, 3, 24, 1, 1, 23.3, 0, 35.15, 1384.45, 0, 1975.7, 0, 0
285, 23, 35, 1, 0, 23, 2, 1, 0, 5, 6.7, 0, 0, 153.9, 0, 0, 0, 0
286, 26, 39, 1, 15, 58, 4, 9, 1, 2, 8.65, 21.25, 19.65, 210.6, 567.55, 493.85, 0, 0
287, 38, 37, 1, 1, 52, 1, 20, 1, 4, 12.2, 41.5, 54.4, 532.55, 1686.3, 2051.1, 0, 0
288, 35, 66, 1, 44, 14, 3, 12, 1, 2, 4.7, 31, 0, 202.5, 1135, 0, 0, 0
289, 37, 50, 0, 9, 110, 2, 21, 1, 1, 9.65, 28.5, 0, 364.05, 992.4, 0, 0, 0
290, 48, 43, 1, 1, 60, 2, 12, 0, 2, 15.5, 19.25, 0, 719.7, 905.15, 0, 0, 0
291, 13, 43, 1, 1, 123, 3, 21, 0, 5, 3.85, 23, 0, 55.05, 317.5, 0, 1, 0
292, 72, 63, 1, 29, 15, 5, 31, 0, 2, 20.6, 0, 0, 1547.45, 0, 0, 0, 0
293, 30, 27, 0, 4, 47, 4, 2, 1, 2, 10.75, 0, 0, 296.9, 0, 0, 0, 1
294, 24, 43, 0, 14, 138, 4, 11, 1, 1, 6.65, 20.25, 24.65, 130.6, 445.6, 551.15, 0, 0
295, 25, 51, 1, 20, 359, 3, 29, 0, 2, 5.75, 27.5, 21.4, 163.75, 676.15, 475.55, 0, 0
296, 50, 52, 0, 30, 214, 3, 22, 0, 1, 11.5, 26.25, 48.3, 610.35, 1287.7, 2412.75, 1, 0
297, 28, 40, 0, 7, 64, 1, 19, 0, 1, 6, 27.5, 0, 167.65, 722.5, 0, 0, 0
298, 34, 51, 0, 8, 50, 4, 14, 0, 1, 16.15, 0, 0, 531.35, 0, 0, 1, 0
299, 48, 32, 0, 2, 88, 3, 9, 0, 1, 6.15, 33.75, 44.75, 307.65, 1603.8, 2119.35, 0, 0
300, 42, 36, 1, 8, 86, 2, 15, 1, 2, 9.8, 0, 0, 436.45, 0, 0, 0, 0
301, 67, 65, 1, 30, 17, 1, 29, 1, 2, 21.7, 26.25, 0, 1384.05, 1721.25, 0, 0, 0
302, 17, 41, 1, 7, 25, 2, 17, 0, 3, 6.45, 0, 0, 114.3, 0, 0, 1, 0
303, 29, 38, 1, 19, 46, 2, 6, 0, 2, 8.35, 0, 0, 248.6, 0, 0, 1, 0
304, 66, 61, 0, 26, 361, 1, 40, 1, 1, 12.75, 0, 0, 782, 0, 0, 0, 0
305, 1, 21, 0, 1, 18, 3, 0, 1, 1, 2.7, 0, 0, 2.7, 0, 0, 1, 1
306, 28, 33, 1, 3, 14, 4, 1, 0, 3, 4.55, 15.75, 23.95, 145.95, 504.9, 618.65, 1, 1
307, 15, 35, 1, 5, 34, 3, 8, 0, 2, 5.15, 0, 0, 110.55, 0, 0, 1, 1
308, 12, 64, 0, 13, 9, 2, 6, 1, 1, 3.8, 30, 0, 52.85, 317.75, 0, 1, 0
309, 48, 49, 0, 18, 39, 2, 5, 1, 1, 7, 24.5, 30.75, 399.75, 1229.6, 1394.5, 0, 1
310, 59, 25, 1, 4, 18, 3, 2, 0, 4, 20.1, 0, 0, 1251.4, 0, 0, 0, 0
311, 8, 26, 1, 1, 25, 4, 1, 0, 2, 3.15, 0, 0, 29.9, 0, 0, 1, 1
312, 45, 52, 0, 15, 46, 5, 8, 1, 1, 9.4, 0, 0, 402.1, 0, 0, 1, 1
313, 25, 39, 1, 8, 94, 4, 11, 1, 4, 3.95, 0, 0, 95.2, 0, 0, 0, 1
314, 21, 44, 1, 4, 26, 3, 2, 0, 2, 7.55, 41, 35.75, 160.65, 863.3, 702.95, 0, 0
315, 17, 68, 1, 1, 335, 1, 35, 1, 3, 3.55, 18.75, 27.9, 70.25, 285.9, 422.85, 0, 0
316, 41, 45, 0, 14, 25, 3, 6, 0, 1, 7.8, 0, 23.2, 370.8, 0, 945.3, 1, 1
317, 13, 45, 1, 3, 99, 3, 8, 1, 2, 8.7, 0, 0, 103.4, 0, 0, 0, 1
318, 1, 26, 1, 3, 30, 2, 7, 1, 5, 1.05, 0, 0, 1.05, 0, 0, 1, 1
319, 3, 31, 1, 4, 35, 2, 2, 1, 3, 4.35, 12.75, 21.5, 11, 30.2, 28.5, 1, 1
320, 23, 27, 1, 2, 51, 5, 1, 1, 2, 3.9, 0, 0, 94.95, 0, 0, 0, 1
321, 26, 42, 0, 20, 49, 3, 13, 0, 1, 3.5, 25, 27.7, 82.3, 638.1, 633.4, 1, 1
322, 37, 51, 1, 15, 54, 1, 15, 0, 3, 9.55, 16.5, 0, 323.65, 614.15, 0, 0, 0
323, 5, 30, 0, 3, 46, 4, 7, 0, 1, 4.3, 0, 0, 17.55, 0, 0, 1, 1
324, 32, 27, 1, 3, 91, 4, 1, 1, 3, 5.5, 16, 41.3, 189.05, 543.15, 1269.1, 1, 1
325, 12, 22, 0, 1, 23, 4, 0, 0, 2, 4.05, 0, 0, 33.75, 0, 0, 0, 0
326, 72, 54, 1, 6, 345, 1, 32, 0, 2, 75.45, 0, 0, 5464.6, 0, 0, 0, 0
327, 3, 25, 1, 2, 45, 4, 0, 1, 2, 3, 15.75, 0, 9.15, 53.05, 0, 1, 1
328, 54, 43, 0, 12, 53, 2, 12, 0, 1, 14.35, 32.25, 0, 775.9, 1749.4, 0, 0, 0
329, 26, 26, 0, 2, 14, 2, 6, 1, 1, 7.8, 36.5, 27.9, 204.25, 884.2, 764.55, 1, 1
330, 14, 36, 0, 13, 67, 5, 4, 1, 1, 14.05, 0, 0, 187.4, 0, 0, 0, 0
331, 22, 51, 0, 27, 49, 3, 1, 0, 1, 9, 0, 0, 150.7, 0, 0, 1, 0
332, 65, 47, 1, 18, 37, 1, 15, 1, 4, 19.05, 0, 0, 1174.6, 0, 0, 0, 0
333, 26, 45, 0, 18, 33, 1, 9, 0, 1, 9.6, 24.25, 0, 285.35, 563.5, 0, 0, 0
334, 20, 37, 0, 5, 46, 3, 10, 1, 4, 4.9, 0, 41.35, 91.55, 0, 815.8, 1, 0
335, 67, 60, 1, 32, 93, 1, 21, 0, 4, 18.85, 0, 0, 1200.7, 0, 0, 1, 0
336, 34, 55, 0, 2, 48, 2, 11, 0, 1, 4.25, 0, 0, 143.35, 0, 0, 0, 0
337, 37, 54, 1, 35, 183, 2, 22, 0, 3, 7.3, 20.5, 0, 257.6, 769.4, 0, 0, 0
338, 22, 23, 1, 3, 16, 1, 5, 0, 4, 5.4, 0, 0, 120.4, 0, 0, 0, 0
339, 5, 69, 0, 0, 11, 2, 14, 0, 1, 6.65, 9.75, 0, 35.2, 44.8, 0, 0, 0
340, 28, 31, 1, 0, 42, 4, 5, 1, 3, 12.25, 23.75, 0, 373.8, 674.5, 0, 0, 0
341, 20, 41, 1, 7, 67, 4, 14, 1, 4, 7.25, 0, 0, 149.1, 0, 0, 0, 0
342, 72, 41, 0, 20, 181, 4, 12, 0, 1, 27.3, 23.25, 52.4, 1963.95, 1645.8, 3790.55, 1, 0
343, 30, 43, 0, 18, 53, 4, 6, 0, 1, 7, 0, 0, 232.9, 0, 0, 1, 0
344, 71, 52, 0, 17, 172, 2, 32, 0, 1, 49.25, 41.5, 68.1, 3599.3, 3015.6, 4828.2, 0, 0
345, 56, 44, 0, 24, 87, 2, 19, 0, 1, 14.75, 42.25, 0, 822.25, 2396.65, 0, 0, 0
346, 8, 29, 1, 2, 21, 5, 0, 0, 2, 4.15, 0, 0, 39.7, 0, 0, 0, 1
347, 32, 65, 0, 6, 9, 2, 30, 1, 1, 6.25, 0, 0, 201.35, 0, 0, 1, 0
348, 46, 47, 0, 22, 144, 3, 22, 1, 2, 3.5, 28.25, 0, 179.95, 1284.55, 0, 0, 1
349, 60, 45, 1, 23, 117, 4, 11, 0, 3, 12.4, 28, 52.9, 755.7, 1721.25, 3094.65, 1, 0
350, 42, 32, 1, 0, 59, 4, 4, 1, 6, 16.7, 38.25, 72.6, 681.5, 1676.2, 2805.75, 0, 0
351, 71, 60, 1, 39, 508, 4, 35, 0, 4, 23.55, 48.25, 0, 1665.6, 3474.05, 0, 0, 0
352, 72, 63, 1, 40, 222, 2, 43, 1, 2, 81.55, 62.25, 0, 5988.5, 4439.25, 0, 0, 0
353, 45, 66, 0, 11, 87, 3, 25, 1, 1, 6.05, 0, 0, 306.9, 0, 0, 0, 0
354, 5, 31, 0, 4, 34, 1, 9, 0, 1, 1.6, 17.25, 19.85, 6.15, 78.85, 69.9, 0, 1
355, 17, 38, 1, 19, 18, 4, 0, 1, 4, 8.55, 0, 0, 162.25, 0, 0, 0, 0
356, 70, 55, 0, 12, 65, 3, 24, 0, 1, 26.7, 42.75, 0, 1874.25, 2921.35, 0, 0, 0
357, 57, 57, 1, 19, 130, 3, 27, 1, 2, 13.55, 0, 0, 849, 0, 0, 1, 0
358, 20, 33, 0, 13, 44, 3, 8, 1, 1, 6.4, 0, 0, 124.45, 0, 0, 1, 0
359, 72, 52, 1, 21, 63, 1, 24, 0, 3, 41.95, 25.75, 0, 3114.75, 1871.95, 0, 0, 0
360, 32, 50, 0, 28, 57, 4, 20, 0, 1, 4.6, 38.5, 23.5, 123, 1267.1, 707.4, 0, 0
361, 22, 57, 1, 7, 264, 1, 35, 1, 2, 3, 0, 0, 68.35, 0, 0, 0, 0
362, 6, 24, 0, 2, 28, 1, 5, 0, 2, 4.4, 9, 0, 35.1, 57.8, 0, 0, 1
363, 32, 23, 1, 2, 26, 3, 1, 1, 6, 11, 24, 0, 325, 796.95, 0, 0, 0
364, 38, 33, 0, 3, 38, 4, 0, 0, 1, 10.95, 0, 0, 412.8, 0, 0, 1, 0
365, 53, 35, 0, 15, 59, 3, 5, 1, 1, 16.85, 23.25, 0, 888.45, 1250.7, 0, 0, 0
366, 37, 76, 0, 38, 117, 4, 21, 1, 1, 7.5, 0, 0, 273.7, 0, 0, 0, 0
367, 47, 35, 1, 13, 70, 4, 9, 1, 2, 10.75, 33, 45.85, 551, 1556.2, 2168.4, 1, 1
368, 69, 59, 0, 37, 104, 2, 13, 0, 1, 16, 30.5, 0, 1120.75, 2104.65, 0, 0, 0
369, 63, 56, 0, 17, 71, 3, 18, 1, 1, 18.4, 0, 0, 1162.9, 0, 0, 0, 0
370, 61, 34, 1, 0, 70, 3, 7, 1, 3, 18.85, 30, 47.3, 1230.7, 1820.3, 2840.2, 1, 1
371, 56, 38, 1, 8, 56, 4, 10, 0, 2, 25.1, 26.75, 27.4, 1418.35, 1435.25, 1553.5, 1, 0
372, 40, 57, 1, 18, 68, 1, 23, 0, 2, 13.35, 25.75, 0, 572.4, 987.7, 0, 0, 0
373, 61, 45, 0, 21, 80, 2, 13, 1, 1, 18.1, 0, 0, 1114.75, 0, 0, 0, 0
374, 16, 26, 0, 7, 21, 4, 1, 0, 6, 3.55, 11, 30.8, 56.85, 182.25, 438.4, 1, 0
375, 7, 43, 0, 4, 69, 3, 5, 1, 1, 4.45, 0, 0, 36.85, 0, 0, 0, 0
376, 20, 31, 1, 10, 39, 2, 3, 1, 2, 7.75, 0, 0, 148.75, 0, 0, 0, 0
377, 35, 38, 0, 7, 90, 2, 18, 0, 4, 6.8, 17.75, 0, 245.95, 558.35, 0, 1, 0
378, 60, 37, 1, 12, 64, 5, 1, 1, 2, 14.85, 0, 0, 978.35, 0, 0, 0, 0
379, 47, 25, 0, 2, 28, 2, 6, 0, 1, 7.75, 19.75, 31.15, 315.9, 859.6, 1448.4, 1, 0
380, 33, 28, 1, 3, 24, 2, 0, 1, 6, 7.5, 0, 0, 224.25, 0, 0, 1, 0
381, 12, 34, 0, 2, 44, 2, 7, 0, 1, 4.05, 0, 0, 48.85, 0, 0, 0, 0
382, 10, 31, 0, 0, 32, 4, 7, 1, 2, 5.4, 0, 0, 60.15, 0, 0, 1, 1
383, 69, 33, 1, 9, 52, 4, 9, 1, 3, 29.95, 0, 0, 2142.8, 0, 0, 0, 0
384, 23, 20, 0, 1, 15, 3, 0, 1, 1, 7.5, 0, 0, 199.65, 0, 0, 0, 0
385, 53, 31, 0, 10, 46, 3, 6, 0, 2, 27.1, 18.5, 0, 1408.35, 935, 0, 0, 0
386, 60, 57, 1, 14, 107, 2, 33, 1, 2, 17.55, 30.75, 46.7, 1035.2, 1863.15, 2640, 0, 0
387, 33, 33, 0, 7, 56, 2, 11, 0, 1, 13.45, 0, 0, 470.9, 0, 0, 0, 0
388, 67, 40, 1, 21, 40, 4, 7, 1, 4, 24.35, 0, 37.45, 1585.85, 0, 2396.15, 1, 0
389, 15, 38, 1, 5, 56, 3, 13, 0, 3, 5.4, 18, 0, 76.75, 274.95, 0, 0, 0
390, 64, 31, 1, 5, 46, 2, 7, 1, 4, 24.15, 0, 33.2, 1546.55, 0, 2148.15, 1, 0
391, 46, 49, 1, 13, 51, 2, 21, 0, 2, 7.25, 0, 0, 329.95, 0, 0, 0, 1
392, 72, 60, 1, 33, 12, 1, 20, 0, 3, 53.75, 68.5, 43.95, 3776.1, 4938.6, 3102.2, 0, 0
393, 61, 43, 1, 6, 34, 5, 6, 0, 3, 25.05, 39, 51, 1541.9, 2536.1, 3182.65, 1, 1
394, 54, 27, 0, 3, 27, 2, 6, 1, 5, 12.4, 35, 43.5, 660.85, 1919.75, 2259.8, 1, 0
395, 28, 36, 0, 3, 42, 3, 7, 1, 1, 12.9, 28.25, 0, 363.65, 820.15, 0, 0, 0
396, 28, 38, 0, 8, 119, 5, 2, 0, 3, 5.05, 0, 42.65, 141.95, 0, 1189.9, 1, 1
397, 32, 43, 0, 13, 146, 1, 27, 1, 1, 18.3, 33.5, 17.45, 546.35, 1090.65, 559.45, 0, 0
398, 52, 46, 0, 17, 51, 2, 13, 1, 3, 12.5, 0, 0, 638.7, 0, 0, 0, 0
399, 48, 62, 0, 33, 86, 1, 22, 1, 1, 16.35, 33.5, 30.6, 729.3, 1613.6, 1408.5, 1, 0
400, 52, 42, 1, 17, 27, 3, 8, 1, 2, 19.65, 31, 0, 1008.8, 1661.3, 0, 0, 0
401, 37, 43, 0, 8, 38, 3, 9, 0, 1, 8.1, 0, 0, 289.75, 0, 0, 0, 0
402, 41, 52, 0, 26, 928, 3, 29, 0, 3, 7.65, 25, 0, 344, 1060.65, 0, 0, 0
403, 43, 27, 1, 3, 21, 2, 1, 1, 3, 12.65, 0, 0, 558.85, 0, 0, 0, 0
404, 67, 60, 0, 24, 24, 1, 6, 1, 1, 25.1, 0, 0, 1659.1, 0, 0, 0, 0
405, 61, 52, 1, 30, 91, 1, 25, 1, 2, 13.8, 0, 0, 840.15, 0, 0, 0, 0
406, 70, 39, 1, 20, 38, 2, 8, 1, 4, 30.3, 26.5, 0, 2201, 1981.65, 0, 0, 0
407, 44, 32, 1, 1, 96, 4, 5, 1, 4, 5.25, 22, 57.8, 213.45, 951.95, 2451.6, 1, 0
408, 46, 45, 0, 12, 96, 3, 17, 0, 1, 10.95, 0, 0, 504.3, 0, 0, 1, 0
409, 39, 34, 0, 2, 54, 3, 5, 0, 1, 6.5, 0, 0, 265.45, 0, 0, 0, 0
410, 39, 59, 0, 20, 1668, 4, 27, 1, 1, 8.2, 15, 0, 303.95, 595.6, 0, 0, 0
411, 50, 29, 1, 10, 53, 4, 0, 1, 4, 13.2, 46, 46.4, 593.35, 2412.65, 2280, 0, 0
412, 5, 31, 0, 1, 21, 3, 1, 1, 2, 2.6, 0, 0, 16.1, 0, 0, 1, 1
413, 10, 34, 0, 1, 52, 5, 3, 1, 1, 4.3, 0, 25.4, 47.45, 0, 255.7, 1, 1
414, 72, 69, 0, 45, 17, 3, 36, 1, 1, 38.2, 0, 0, 2751.65, 0, 0, 0, 0
415, 68, 60, 0, 40, 262, 2, 39, 1, 1, 31.6, 0, 0, 2112.25, 0, 0, 0, 0
416, 58, 28, 0, 5, 34, 5, 1, 1, 1, 19.9, 0, 0, 1144.6, 0, 0, 1, 0
417, 18, 44, 1, 10, 107, 1, 19, 1, 7, 2.25, 0, 0, 41.8, 0, 0, 0, 0
418, 65, 45, 1, 25, 67, 5, 13, 1, 2, 9.85, 20.75, 0, 671.2, 1391.85, 0, 0, 0
419, 8, 45, 0, 1, 37, 4, 0, 0, 1, 4.65, 0, 0, 64.45, 0, 0, 1, 1
420, 1, 20, 0, 1, 21, 2, 0, 1, 2, 0.9, 0, 0, 0.9, 0, 0, 1, 1
421, 42, 58, 0, 7, 22, 1, 4, 1, 1, 3.6, 0, 0, 166.75, 0, 0, 0, 0
422, 4, 25, 1, 3, 71, 3, 3, 1, 5, 3.6, 0, 0, 14.95, 0, 0, 1, 0
423, 17, 35, 0, 4, 77, 3, 8, 1, 1, 8.1, 15, 0, 144.4, 251.1, 0, 0, 0
424, 8, 24, 1, 1, 18, 4, 0, 1, 5, 2.95, 17, 34.3, 16.8, 134.25, 260.8, 1, 1
425, 49, 37, 1, 17, 50, 2, 12, 1, 2, 4.2, 0, 0, 243.1, 0, 0, 0, 0
426, 56, 46, 1, 21, 33, 4, 7, 0, 2, 22.7, 0, 0, 1257.4, 0, 0, 1, 0
427, 62, 57, 1, 21, 94, 1, 22, 0, 2, 11.95, 32, 0, 757.6, 1999.95, 0, 1, 0
428, 42, 57, 1, 25, 209, 1, 40, 1, 4, 9.45, 0, 0, 383.45, 0, 0, 0, 0
429, 13, 32, 0, 7, 31, 4, 5, 0, 2, 5.05, 35.5, 23.3, 64.85, 452.3, 244.3, 0, 0
430, 69, 46, 1, 18, 66, 2, 19, 0, 4, 21.85, 0, 0, 1589.1, 0, 0, 0, 0
431, 45, 59, 0, 14, 51, 1, 15, 0, 2, 5.95, 0, 0, 236.3, 0, 0, 0, 0
432, 66, 42, 1, 18, 118, 2, 20, 0, 2, 26.8, 0, 0, 1774.75, 0, 0, 0, 0
433, 15, 35, 0, 10, 25, 2, 3, 0, 1, 4.75, 0, 0, 41.4, 0, 0, 1, 1
434, 41, 44, 1, 1, 59, 3, 21, 1, 3, 12.1, 0, 0, 479.95, 0, 0, 1, 0
435, 11, 20, 0, 1, 20, 2, 0, 1, 1, 4.75, 23, 42.7, 48, 221.35, 387.95, 1, 1
436, 45, 30, 1, 0, 63, 5, 4, 0, 4, 7.1, 40.75, 50.85, 314.8, 1849.5, 2239.65, 1, 1
437, 52, 62, 0, 23, 36, 4, 17, 0, 1, 13.35, 18.5, 0, 709.25, 978.85, 0, 0, 0
438, 42, 56, 0, 24, 72, 4, 18, 1, 1, 8, 0, 40.05, 336.9, 0, 1713.3, 1, 0
439, 48, 35, 0, 11, 50, 1, 16, 0, 3, 12.85, 21.75, 0, 622.75, 1018.55, 0, 0, 0
440, 4, 31, 0, 5, 39, 2, 5, 0, 2, 4.9, 26, 36.4, 19.65, 95.95, 142.9, 1, 1
441, 53, 64, 1, 10, 54, 2, 20, 1, 2, 9.65, 39.25, 74.8, 483.55, 2053.2, 3817.55, 1, 0
442, 1, 59, 0, 4, 9, 1, 4, 0, 1, 3.8, 26.5, 0, 3.8, 26.5, 0, 0, 0
443, 19, 30, 1, 10, 33, 4, 1, 0, 3, 4.05, 22.25, 0, 79.45, 396.35, 0, 1, 0
444, 33, 30, 0, 11, 28, 1, 9, 0, 1, 7.4, 0, 0, 246.55, 0, 0, 0, 0
445, 42, 36, 1, 14, 44, 2, 11, 0, 3, 7, 26.5, 26.1, 321.95, 1161.3, 1173.45, 0, 0
446, 60, 32, 0, 12, 34, 4, 4, 1, 2, 23.95, 0, 0, 1513, 0, 0, 0, 0
447, 57, 51, 1, 7, 68, 4, 18, 1, 3, 16.05, 18.75, 0, 930.4, 1096, 0, 0, 0
448, 64, 39, 0, 5, 37, 1, 9, 0, 1, 10.2, 0, 0, 640.75, 0, 0, 0, 0
449, 28, 20, 1, 1, 18, 3, 0, 0, 3, 7.7, 0, 32, 190.05, 0, 873.3, 1, 0
450, 29, 35, 1, 10, 55, 2, 7, 0, 4, 15.65, 21.75, 0, 477.95, 612.55, 0, 0, 1
451, 46, 31, 1, 12, 21, 1, 5, 0, 5, 8.95, 0, 0, 369.95, 0, 0, 0, 0
452, 22, 41, 1, 9, 29, 3, 11, 0, 4, 12.75, 0, 0, 274.85, 0, 0, 0, 1
453, 10, 56, 0, 26, 9, 2, 6, 0, 2, 3.2, 0, 0, 36.9, 0, 0, 0, 0
454, 50, 41, 0, 16, 138, 2, 18, 1, 1, 12.35, 19.75, 0, 585.05, 937.85, 0, 1, 1
455, 55, 65, 0, 34, 28, 4, 12, 1, 1, 18.6, 46.25, 41.2, 1007.3, 2610.55, 2163.5, 0, 0
456, 15, 54, 0, 7, 62, 1, 11, 0, 1, 3.15, 0, 0, 54.25, 0, 0, 0, 0
457, 31, 32, 1, 13, 37, 3, 8, 1, 3, 4.6, 19.75, 56.45, 140.55, 593.75, 1771.1, 0, 0
458, 5, 44, 0, 5, 83, 1, 16, 1, 1, 4.65, 0, 0, 12.3, 0, 0, 0, 1
459, 69, 63, 0, 28, 168, 1, 43, 1, 2, 14.5, 44.25, 0, 1020.3, 3097.25, 0, 0, 0
460, 26, 27, 1, 4, 33, 4, 1, 0, 6, 5.85, 25.5, 34.15, 114.55, 656.85, 810.2, 1, 1
461, 10, 33, 1, 2, 66, 3, 9, 1, 4, 7.1, 21.25, 0, 59.3, 241.8, 0, 0, 1
462, 26, 30, 0, 9, 18, 4, 1, 0, 3, 7.25, 25.5, 0, 171.85, 688.35, 0, 0, 1
