V1,V2
2010-06-13-0826,10001519
2010-06-13-0826,10003364
2010-06-13-0826,10003373
2010-06-13-0826,10200597
2010-06-14-0825,10050494
2010-06-14-0825,10001519
2010-06-14-0825,10003364
2010-06-14-0825,10093119
2010-06-14-0825,10202857
2010-06-15-0830,10050494
2010-06-15-0830,10001519
2010-06-15-0830,10003364
2010-06-15-0830,10093119
2010-06-15-0830,10202857
2010-06-16-0827,10004365
2010-06-16-0827,10003334
2010-06-16-0827,10004365
2010-06-16-0827,10178187
2010-06-16-0827,10001519
2010-06-16-0827,10003364
2010-06-16-0827,10003373
2010-06-16-0827,10200597
2010-06-17-0855,10002195
2010-06-17-0855,10001519
2010-06-17-0855,10003364
2010-06-17-0855,10003373
2010-06-17-0855,10200597
2010-06-18-0829,10200597
2010-06-18-0829,10003373
2010-06-18-0829,10003364
2010-06-18-0829,10001519
2010-06-18-0829,10002195
2010-06-18-0829,10000012
2010-06-18-0829,10003344
2010-06-18-0829,10001519
2010-06-19-0830,10202857
2010-06-19-0830,10093119
2010-06-19-0830,10003364
2010-06-19-0830,10001519
2010-06-19-0830,10002195
2010-06-20-0827,10200597
2010-06-20-0827,10003373
2010-06-20-0827,10003364
2010-06-20-0827,10001519
2010-06-20-0827,10002195
2010-06-21-0827,10202857
2010-06-21-0827,10093119
2010-06-21-0827,10003364
2010-06-21-0827,10001519
2010-06-21-0827,10002195
2010-06-22-0828,10200597
2010-06-22-0828,10003373
2010-06-22-0828,10003364
2010-06-22-0828,10001519
2010-06-22-0828,10168051
2010-06-23-0830,10202857
2010-06-23-0830,10093119
2010-06-23-0830,10003364
2010-06-23-0830,10001519
2010-06-23-0830,10002195
2010-06-24-0830,10200597
2010-06-24-0830,10003373
2010-06-24-0830,10003364
2010-06-24-0830,10001519
2010-06-24-0830,10168051
2010-06-25-0828,10202857
2010-06-25-0828,10093119
2010-06-25-0828,10003364
2010-06-25-0828,10001519
2010-06-25-0828,10168051
2010-06-26-0829,10200597
2010-06-26-0829,10003373
2010-06-26-0829,10003364
2010-06-26-0829,10001519
2010-06-26-0829,10003349
2010-06-27-0827,10202857
2010-06-27-0827,10093119
2010-06-27-0827,10003364
2010-06-27-0827,10001519
2010-06-27-0827,10003349
2010-06-28-0826,10202857
2010-06-28-0826,10093119
2010-06-28-0826,10003364
2010-06-28-0826,10001519
2010-06-28-0826,10003349
2010-06-29-0828,10202857
2010-06-29-0828,10093119
2010-06-29-0828,10003364
2010-06-29-0828,10001519
2010-06-29-0828,10003349
2010-06-30-0828,10200597
2010-06-30-0828,10003373
2010-06-30-0828,10003364
2010-06-30-0828,10001519
2010-06-30-0828,10003349
2010-06-30-0828,10004365
2010-06-30-0828,10003334
2010-06-30-0828,10001519
2010-07-01-0824,10202857
2010-07-01-0824,10093119
2010-07-01-0824,10003364
2010-07-01-0824,10001519
2010-07-01-0824,10003349
2010-07-02-0827,10200597
2010-07-02-0827,10003373
2010-07-02-0827,10003364
2010-07-02-0827,10001519
2010-07-02-0827,10003349
2010-07-02-0826,10004368
2010-07-02-0826,10004365
2010-07-02-0826,10003349
2010-07-03-0825,10200597
2010-07-03-0825,10003373
2010-07-03-0825,10003364
2010-07-03-0825,10001519
2010-07-03-0825,10003349
2010-07-04-0822,10202857
2010-07-04-0822,10093119
2010-07-04-0822,10003364
2010-07-04-0822,10001519
2010-07-04-0822,10003349
2010-07-05-0825,10200597
2010-07-05-0825,10003373
2010-07-05-0825,10003364
2010-07-05-0825,10001519
2010-07-05-0825,10003349
2010-07-06-0823,10202857
2010-07-06-0823,10093119
2010-07-06-0823,10003364
2010-07-06-0823,10001519
2010-07-06-0823,10003349
2010-07-07-0826,10200597
2010-07-07-0826,10003373
2010-07-07-0826,10003364
2010-07-07-0826,10001519
2010-07-07-0826,10003349
2010-07-08-0825,10200597
2010-07-08-0825,10003373
2010-07-08-0825,10003364
2010-07-08-0825,10001519
2010-07-08-0825,10003349
2010-07-14-1325,10004364
2010-07-14-1325,10206723
2010-07-14-1325,10004364
2010-07-14-1325,10003349
2010-07-14-1325,10001519
2010-07-14-1325,10003364
2010-07-14-1325,10213006
2010-07-14-1325,10202857
2010-07-15-0825,10202857
2010-07-15-0825,10213006
2010-07-15-0825,10003364
2010-07-15-0825,10001519
2010-07-15-0825,10003349
2010-07-16-0822,10202857
2010-07-16-0822,10213006
2010-07-16-0822,10003364
2010-07-16-0822,10001519
2010-07-16-0822,10003349
2010-07-16-0821,10004365
2010-07-16-0821,10003356
2010-07-16-0821,10004365
2010-07-17-0823,10202857
2010-07-17-0823,10213006
2010-07-17-0823,10003364
2010-07-17-0823,10001519
2010-07-17-0823,10003349
2010-07-17-0823,10001519
2010-07-17-0823,10001476
2010-07-17-0823,10001519
2010-07-18-0825,10200597
2010-07-18-0825,10093119
2010-07-18-0825,10003364
2010-07-18-0825,10001519
2010-07-18-0825,10003349
2010-07-18-0825,10001519
2010-07-18-0825,10003339
2010-07-18-0825,10001519
2010-07-19-0823,10200597
2010-07-19-0823,10093119
2010-07-19-0823,10003364
2010-07-19-0823,10001519
2010-07-19-0823,10003349
2010-07-26-2234,10003349
2010-07-26-2234,10001519
2010-07-26-2234,10003364
2010-07-26-2234,10213006
2010-07-26-2234,10202857
2010-07-27-2206,10001519
2010-07-27-2206,10003344
2010-07-27-2206,10001519
2010-07-27-2207,10003349
2010-07-27-2207,10001519
2010-07-27-2207,10003364
2010-07-27-2207,10213006
2010-07-27-2207,10202857
2010-07-28-1622,10003349
2010-07-28-1622,10001519
2010-07-28-1622,10003364
2010-07-28-1622,10093119
2010-07-28-1622,10200597
2010-08-02-1627,10202857
2010-08-02-1627,10213006
2010-08-02-1627,10003364
2010-08-02-1627,10001519
2010-08-02-1627,10003349
2010-08-02-1626,10177250
2010-08-02-1626,10000012
2010-08-02-1626,10177250
2011-07-14-1013,10242344
2011-07-14-1013,10178187
2011-07-14-1013,10169628
2011-07-14-1013,10300076
2011-07-16-1351,10001476
2011-07-16-1016,10233613
2011-07-16-1016,10178187
2011-07-16-1016,10300076
2011-07-16-1016,10301049
2011-07-16-1017,10242344
2011-07-18-1116,10233613
2011-07-18-1116,10000085
2011-07-18-1116,10300076
2011-07-18-1116,10169628
2011-07-18-1755,10297749
2011-07-18-1755,10001476
2011-07-20-1117,10242344
2011-07-20-1117,10254499
2011-07-20-1117,10300076
2011-07-20-1117,10188122
2011-07-22-1330,10242344
2011-07-22-1330,10000085
2011-07-22-1330,10300076
2011-07-22-1330,10169628
2011-07-24-1248,10242344
2011-07-24-1248,10000085
2011-07-24-1248,10300076
2011-07-24-1248,10049781
2011-07-26-1118,10242344
2011-07-26-1118,10254499
2011-07-26-1118,10300076
2011-07-26-1118,10049781
2011-07-28-1456,10242344
2011-07-28-1456,10254499
2011-07-28-1456,10300076
2011-07-28-1456,10301049
2011-08-03-1715,10188122
2011-08-03-1715,10300076
2011-08-03-1715,10309102
2011-08-03-1715,10242344
2011-08-05-1103,10242344
2011-08-05-1103,10309102
2011-08-05-1103,10300076
2011-08-05-1103,10049781
2011-08-05-1815,10306115
2011-08-07-1625,10188122
2011-08-07-1625,10300076
2011-08-07-1625,10309102
2011-08-07-1625,10242344
2011-08-09-0851,10001476
2011-08-09-0851,10000005
2011-08-09-0851,10300076
2011-08-09-0851,10188122
2011-08-09-1723,10242344
2011-08-11-2350,10014911
2011-08-11-0849,10003349
2011-08-11-0849,10004364
2011-08-11-0849,10300076
2011-08-11-1332,10024494
2011-08-11-1332,10242344
2011-08-13-0857,10003349
2011-08-13-0857,10004364
2011-08-13-0857,10300076
2011-08-13-0857,10049781
2011-08-13-1827,10242344
2011-08-15-0855,10003349
2011-08-15-0855,10004364
2011-08-15-0855,10300076
2011-08-15-0855,10014911
2011-08-15-1133,10242344
2011-08-17-0858,10003349
2011-08-17-0858,10004364
2011-08-17-0858,10300076
2011-08-17-0858,10049781
2011-09-16-1030,10004369
2011-09-16-1030,10001519
2011-09-16-1030,10004369
